t_s,coating,power_w,mean_solar_view_factor,mean_earth_view_factor,temp_internal_k,temp_internal_c,temp_min_k,temp_max_k,internal_cold_limit_flag,internal_hot_limit_flag,external_cold_limit_flag,external_hot_limit_flag,coating_x_pos,solar_view_x_pos,earth_view_x_pos,temp_x_pos_k,temp_x_pos_c,coating_x_neg,solar_view_x_neg,earth_view_x_neg,temp_x_neg_k,temp_x_neg_c,coating_y_pos,solar_view_y_pos,earth_view_y_pos,temp_y_pos_k,temp_y_pos_c,coating_y_neg,solar_view_y_neg,earth_view_y_neg,temp_y_neg_k,temp_y_neg_c,coating_z_pos,solar_view_z_pos,earth_view_z_pos,temp_z_pos_k,temp_z_pos_c,coating_z_neg,solar_view_z_neg,earth_view_z_neg,temp_z_neg_k,temp_z_neg_c,component_limit_flag
93600.0,mixed,1200.0,0.278814573295434,0.16666666666666666,318.4802834152552,45.330283415255224,268.30643836406125,335.56029645191376,False,False,False,False,white,0.35140201471571364,0.0,282.2949635296276,9.144963529627603,MLI,0.0,9.71445146547012e-17,314.2376667670241,41.08766676702413,white,0.0,0.0,268.30643836406125,-4.843561635938727,MLI,0.6197868842811605,0.0,333.4500877324883,60.30008773248835,MLI,0.70169854077573,0.0,335.56029645191376,62.41029645191378,OSR/FEP,0.0,0.9999999999999998,269.9726548042932,-3.1773451957067778,False
94200.0,mixed,1200.0,0.2774059204343586,0.16666666666666666,318.8325647998843,45.68256479988435,268.516953631563,336.18838917153306,False,False,False,False,white,0.3349541517286444,0.0,281.8890562963598,8.73905629635982,MLI,0.0,1.3877787807814457e-17,314.5974286651543,41.44742866515435,white,0.0,5.551115123125783e-17,268.516953631563,-4.633046368436965,MLI,0.6197664790278771,0.0,333.8057376511188,60.65573765111884,MLI,0.7097148918496301,0.0,336.18838917153306,63.03838917153308,OSR/FEP,0.0,1.0,270.17527160781736,-2.9747283921826124,False
94800.0,mixed,1200.0,0.275921197558112,0.16666666666666666,319.1595393458102,46.0095393458102,268.7125043027122,336.77522179739805,False,False,False,False,white,0.318524614298724,0.0,281.4706928925352,8.320692892535249,MLI,0.0,1.3877787807814457e-17,314.9323172764509,41.7823172764509,white,0.0,0.0,268.7125043027122,-4.437495697287773,MLI,0.6197461186769179,0.0,334.13674144396015,60.98674144396017,MLI,0.71725645237303,0.0,336.77522179739805,63.62522179739807,OSR/FEP,0.0,1.0,270.36473855010126,-2.7852614498987123,False
95400.0,mixed,1200.0,0.27435977470669975,0.16666666666666666,319.4619621950209,46.3119621950209,268.8935699457956,337.3227748713496,False,False,False,False,white,0.30207933993137775,6.938893903907228e-18,281.0389514659784,7.888951465978437,MLI,0.0,0.0,315.243069301994,42.093069301994035,white,0.0,0.0,268.8935699457956,-4.2564300542043725,MLI,0.6197257990361715,0.0,334.44383025775323,61.29383025775326,MLI,0.7243535092726492,0.0,337.3227748713496,64.17277487134965,OSR/FEP,0.0,1.0,270.5414140468376,-2.6085859531623896,False
96000.0,mixed,1200.0,0.2727201614846219,0.16666666666666666,319.740566642215,46.59056664221504,269.0606161767522,337.8328226142629,False,False,False,False,white,0.2855841488646432,0.0,280.5929018447835,7.442901844783535,MLI,0.0,1.3877787807814457e-17,315.5304095341939,42.380409534193916,white,0.0,5.551115123125783e-17,269.0606161767522,-4.089383823247772,MLI,0.619705516604115,0.0,334.72772322072046,61.577723220720486,MLI,0.7310313034389733,0.0,337.8328226142629,64.68282261426293,OSR/FEP,0.0,0.9999999999999999,270.7056730110121,-2.444326988987882,False
96600.0,mixed,1200.0,0.2710000304730868,0.16666666666666666,319.99605569013005,46.84605569013007,269.2140896482233,338.3069471587833,False,False,False,False,white,0.2690043933503072,8.673617379884035e-19,280.13158761547794,6.981587615477963,MLI,0.0,0.0,315.79504119501286,42.64504119501288,white,0.0,0.0,269.2140896482233,-3.93591035177667,MLI,0.6196852684897766,0.0,334.98911789404406,61.83911789404408,MLI,0.7373105209984371,0.0,338.3069471587833,65.15694715878334,OSR/FEP,0.0,1.0,270.85789839533226,-2.292101604667721,False
97200.0,mixed,1200.0,0.269196216295991,0.16666666666666666,320.2290948141073,47.07909481410735,269.3544138672285,338.7465489344774,False,False,False,False,white,0.25230459236388386,0.0,279.65400822507485,6.50400822507487,MLI,0.0,1.734723475976807e-18,316.0376378367555,42.887637836755516,white,0.0,5.551115123125783e-17,269.3544138672285,-3.7955861327714615,MLI,0.6196650523574958,0.0,335.2286822681942,62.0786822681942,MLI,0.7432076530545664,0.0,338.7465489344774,65.59654893447743,OSR/FEP,0.0,1.0,270.99847460923485,-2.15152539076513,False
97800.0,mixed,1200.0,0.26730469200047496,0.1666666666666667,320.4403056044906,47.29030560449064,269.4819856194896,339.1528536540038,False,False,False,False,white,0.23544804779939826,0.0,279.1591008244066,6.00910082440663,MLI,0.0,3.122502256758253e-17,316.2588364159237,43.10883641592375,white,0.0,0.0,269.4819856194896,-3.6680143805103853,MLI,0.6196448663884299,0.0,335.44704791875046,62.29704791875048,MLI,0.7487352378150218,0.0,339.1528536540038,66.00285365400384,OSR/FEP,0.0,1.0000000000000002,271.12778242572836,-2.0222175742716217,False
98400.0,mixed,1200.0,0.26532052109682774,0.16666666666666666,320.63026000348003,47.480260003480055,269.5971718146909,339.52691615619574,False,False,False,False,white,0.21839641828164963,0.0,278.6457215182861,5.495721518286132,MLI,0.0,0.0,316.45923121533144,43.309231215331465,white,0.0,0.0,269.5971718146909,-3.5528281853090675,MLI,0.6196247092572852,0.0,335.644804000123,62.494804000123,MLI,0.7539019990420317,0.0,339.52691615619574,66.37691615619576,OSR/FEP,0.0,1.0,271.24619511298835,-1.9038048870116313,False
99000.0,mixed,1200.0,0.26323778572325746,0.16666666666666666,320.7994748775623,47.64947487756234,269.70030659101826,339.8696213163645,False,False,False,False,white,0.20110925611627545,0.0,278.1126250604731,4.962625060473101,MLI,0.0,4.163336342344337e-17,316.6393683344465,43.48936833444651,white,0.0,5.551115123125783e-17,269.70030659101826,-3.449693408981716,MLI,0.6196045801238433,0.0,335.8224917998804,62.67249179988045,MLI,0.7587128780994259,0.0,339.8696213163645,66.71962131636451,OSR/FEP,0.0,1.0,271.35407557522103,-1.7959244247789456,False
99600.0,mixed,1200.0,0.2610494876393914,0.16666666666666663,320.94840668828783,47.798406688287855,269.7916885324367,340.18168189280385,False,False,False,False,white,0.18354348665404766,6.938893903907228e-17,277.5584428466149,4.408442846614946,MLI,0.0,0.0,316.79974049648723,43.649740496487254,white,0.0,0.0,269.7916885324367,-3.358311467563283,MLI,0.6195844786397949,0.0,335.98059960465713,62.83059960465715,MLI,0.7631689605425058,0.0,340.18168189280385,67.03168189280387,OSR/FEP,0.0,0.9999999999999997,271.45177436402406,-1.6982256359759162,False
100200.0,mixed,1200.0,0.25874741687119446,0.16666666666666666,321.0774460299666,47.92744602996663,269.8715778621931,340.46363314393074,False,False,False,False,white,0.16565280495194284,0.0,276.9816583522757,3.831658352275724,MLI,0.0,1.3877787807814457e-17,316.94078194016595,43.79078194016597,white,0.0,0.0,269.8715778621931,-3.278422137806899,MLI,0.6195644049738305,0.0,336.11955764775007,62.969557647750094,MLI,0.7672672913013934,0.0,340.46363314393074,67.31363314393076,OSR/FEP,0.0,1.0,271.5396284716026,-1.6103715283973656,False
100800.0,mixed,1200.0,0.2563219848916523,0.16666666666666666,321.18691179085675,48.03691179085678,269.94019347540734,340.71582389503897,False,False,False,False,white,0.14738699111711923,6.938893903907228e-17,276.3805788865502,3.2305788865502336,MLI,0.0,0.0,317.06286316756837,43.91286316756839,white,0.0,5.551115123125783e-17,269.94019347540734,-3.2098065245926364,MLI,0.6195443598469811,0.0,336.23973291206494,63.08973291206496,MLI,0.7710005583858137,0.0,340.71582389503897,67.56582389503899,OSR/FEP,0.0,0.9999999999999998,271.61796086043876,-1.5320391395612205,False
101400.0,mixed,1200.0,0.2537620119079382,0.16666666666666666,321.27704468502685,48.127044685026874,269.9977096681326,340.9384033863702,False,False,False,False,white,0.12869109869335918,0.0,275.75330328526525,2.6033032852652696,MLI,0.0,2.7755575615628914e-17,317.16628531338466,44.016285313384685,white,0.0,0.0,269.9977096681326,-3.152290331867391,MLI,0.6195243446045648,0.0,336.3414235555673,63.191423555567326,MLI,0.7743566281497052,0.0,340.9384033863702,67.78840338637025,OSR/FEP,0.0,1.0,271.6870807574623,-1.46291924253768,False
102000.0,mixed,1200.0,0.25105445814431965,0.16666666666666666,321.34799986449616,48.19799986449618,270.04425240833183,341.1313031639452,False,False,False,False,white,0.10950449065585219,2.7755575615628914e-17,275.0976837570212,1.9476837570211956,MLI,0.0,0.0,317.2512738851101,44.10127388511012,white,0.0,5.551115123125783e-17,270.04425240833183,-3.1057475916681483,MLI,0.6195043613006536,0.0,336.4248527114938,63.27485271149385,MLI,0.7773178969094121,0.0,341.1313031639452,67.9813031639452,OSR/FEP,0.0,0.9999999999999999,271.74728477757185,-1.402715222428128,False
102600.0,mixed,1200.0,0.24818408581964935,0.16666666666666666,321.39983827002214,48.24983827002217,270.0798949686557,341.29421285042366,False,False,False,False,white,0.08975969147269532,1.1102230246251565e-16,274.4112804304961,1.2612804304961287,MLI,0.0,0.0,317.3179715880839,44.1679715880839,white,0.0,0.0,270.0798949686557,-3.0701050313442693,MLI,0.6194844128222455,0.0,336.4901613791939,63.340161379193944,MLI,0.7798604106229551,0.0,341.29421285042366,68.14421285042368,OSR/FEP,0.0,0.9999999999999998,271.798859037713,-1.3511409622869905,False
103200.0,mixed,1200.0,0.2451330301335295,0.16666666666666666,321.4325163148302,48.28251631483022,270.1046527087214,341.42654818686344,False,False,False,False,white,0.06938098873101253,2.220446049250313e-16,273.6913069154877,0.5413069154877235,MLI,0.0,0.0,317.36642990120174,44.216429901201764,white,0.0,0.0,270.1046527087214,-3.045347291278574,MLI,0.6194645030565923,0.0,336.53740007453933,63.38740007453936,MLI,0.7819526890135721,0.0,341.42654818686344,68.27654818686347,OSR/FEP,0.0,0.9999999999999999,271.84208252726495,-1.3079174727350278,False
103800.0,mixed,1200.0,0.24188025281480918,0.1666666666666667,321.4458733905493,48.29587339054933,270.11847674690966,341.52740921910106,False,False,False,False,white,0.04828272054392321,0.0,272.9345639100472,-0.21543608995278873,MLI,0.0,8.326672684688674e-17,317.3965989993128,44.24659899931282,white,0.0,0.0,270.11847674690966,-3.031523253090313,MLI,0.6194446371155546,5.551115123125783e-17,336.5665188392187,63.416518839218725,MLI,0.7835541592293773,0.0,341.52740921910106,68.37740921910108,OSR/FEP,0.0,1.0,271.8772321265565,-1.2727678734434562,False
104400.0,mixed,1200.0,0.23840084154501087,0.16666666666666666,321.43961654469894,48.28961654469896,270.12124619159664,341.59552561189906,False,False,False,False,white,0.02636716177187383,5.551115123125783e-17,272.1373575723034,-1.0126424276965622,MLI,0.0,0.0,317.4083155149681,44.2583155149681,white,0.0,0.0,270.12124619159664,-3.028753808403337,MLI,0.6194248216370959,0.0,336.5773551057212,63.42735510572123,MLI,0.7846130658610955,0.0,341.59552561189906,68.44552561189909,OSR/FEP,0.0,0.9999999999999999,271.90458989749186,-1.2454101025081172,False
105000.0,mixed,1200.0,0.23466510238980295,0.16666666666666666,321.4133014902357,48.26330149023573,270.11275850851206,341.6291848893502,False,False,False,False,white,0.003521881943718344,2.220446049250313e-16,271.2953983279792,-1.854601672020749,MLI,0.0,0.0,317.40128749302744,44.25128749302746,white,0.0,0.0,270.11275850851206,-3.0372414914879187,MLI,0.6194050651929356,0.0,336.56961877674746,63.419618776747484,MLI,0.7850636672021637,0.0,341.6291848893502,68.47918488935022,OSR/FEP,0.0,0.9999999999999998,271.9244535752917,-1.2255464247082841,False
105600.0,mixed,1200.0,0.23743190116151847,0.16666666666666666,321.3663088362822,48.216308836282224,270.09271746994364,341.6261376932758,False,False,False,False,white,0.0,0.0,270.40367396859455,-2.746326031405431,MLI,0.02038358846388426,0.0,317.37507569751824,44.225075697518264,white,0.0,0.0,270.09271746994364,-3.057282530056341,MLI,0.6193853788445733,5.551115123125783e-17,336.54287368522296,63.39287368522298,MLI,0.7848224396606531,0.0,341.6261376932758,68.4761376932758,OSR/FEP,0.0,1.0,271.93715166437124,-1.2128483356287347,False
106200.0,mixed,1200.0,0.241441776936381,0.16666666666666666,321.32023377886236,48.17023377886238,270.06622957087194,341.5898594622329,False,False,False,False,white,0.0,0.0,270.11832494508445,-3.0316750549155245,MLI,0.045502005401895224,0.0,317.7495964024305,44.59959640243051,white,0.0,5.551115123125783e-17,270.06622957087194,-3.0837704291280374,MLI,0.6193657769000802,0.0,336.5029061711088,63.35290617110883,MLI,0.7837828793163105,0.0,341.5898594622329,68.4398594622329,OSR/FEP,0.0,1.0,271.9485896352799,-1.2014103647200614,False
106800.0,mixed,1200.0,0.2455280730143549,0.16666666666666674,321.294394147233,48.144394147233015,270.04567981086547,341.5346697738987,False,False,False,False,white,0.0,0.0,270.0544139875399,-3.095586012460103,MLI,0.0720138784521015,1.6653345369377348e-16,318.36769132102,45.21769132102003,white,0.0,0.0,270.04567981086547,-3.104320189134512,MLI,0.6193462779806683,5.551115123125783e-17,336.4670034317002,63.31700343170024,MLI,0.7818082816533596,0.0,341.5346697738987,68.38466977389874,OSR/FEP,0.0,1.0000000000000002,271.9722136897413,-1.177786310258682,False
107400.0,mixed,1200.0,0.24969717239440628,0.1666666666666667,321.29319761600357,48.14319761600359,270.03737245815245,341.46869914774106,False,False,False,False,white,0.0,1.6653345369377348e-16,270.0388371265273,-3.111162873472665,MLI,0.1001345802479664,0.0,319.1129856011223,45.96298560112234,white,0.0,0.0,270.03737245815245,-3.11262754184753,MLI,0.61932690650503,5.551115123125783e-17,336.44710121643703,63.297101216437056,MLI,0.7787215476134415,0.0,341.46869914774106,68.31869914774109,OSR/FEP,0.0,1.0,272.0156618103921,-1.1343381896078881,False
108000.0,mixed,1200.0,0.253953649218201,0.16666666666666666,321.3162139779092,48.166213977909194,270.04270845637996,341.3917384115353,False,False,False,False,white,0.0,0.0,270.0429540794889,-3.107045920511098,MLI,0.13012368239146557,5.551115123125783e-17,319.9500722849272,46.80007228492724,white,0.0,0.0,270.04270845637996,-3.107291543620022,MLI,0.6193076948149829,0.0,336.4478860784352,63.297886078435226,MLI,0.7742905181027577,0.0,341.3917384115353,68.24173841153532,OSR/FEP,0.0,1.0,272.0820152411227,-1.0679847588772873,False
108600.0,mixed,1200.0,0.2582987380578581,0.16666666666666666,321.36217699924765,48.212176999247674,270.06141839442273,341.2983874916365,False,False,False,False,white,0.0,0.0,270.06145958094214,-3.0885404190578356,MLI,0.16229732325822785,5.551115123125783e-17,320.8712606224619,47.7212606224619,white,0.0,0.0,270.06141839442273,-3.0885816055772466,MLI,0.6192886862478375,0.0,336.47033093346926,63.32033093346928,MLI,0.7682064188410832,0.0,341.2983874916365,68.14838749163653,OSR/FEP,0.0,1.0,272.173194753852,-0.9768052461479897,False
109200.0,mixed,1200.0,0.26272767372468614,0.16666666666666666,321.42967460018775,48.279674600187775,270.0928036733872,341.1797083765469,False,False,False,False,white,0.0,5.551115123125783e-17,270.09281057811813,-3.0571894218818443,MLI,0.19704470594847792,0.0,321.8793862787993,48.729386278799325,white,0.0,0.0,270.0928036733872,-3.057196326612768,MLI,0.6192699396411688,5.551115123125783e-17,336.5139216018599,63.36392160185994,MLI,0.7600513967584699,0.0,341.1797083765469,68.02970837654692,OSR/FEP,0.0,1.0,272.2914368506594,-0.8585631493405685,False
109800.0,mixed,1200.0,0.26722498984056653,0.16666666666666666,321.5172490307635,48.3672490307635,270.13606136087554,341.02330307595633,False,False,False,False,white,0.0,0.0,270.13606251804686,-3.0139374819531213,MLI,0.23485015240895574,0.0,322.9823551839235,49.83235518392354,white,0.0,0.0,270.13606136087554,-3.013938639124433,MLI,0.6192515360140106,0.0,336.57759074269876,63.42759074269878,MLI,0.7492482506204329,0.0,341.02330307595633,67.87330307595636,OSR/FEP,0.0,1.0,272.43996311835167,-0.7100368816483069,False
110400.0,mixed,1200.0,0.27175600257837407,0.1666666666666667,321.62336300838433,48.473363008384354,270.19034061452555,340.8123283614025,False,False,False,False,white,0.0,0.0,270.190340808375,-2.959659191624951,MLI,0.27632234102856046,1.1102230246251565e-16,324.19170059164406,51.04170059164409,white,0.0,5.551115123125783e-17,270.19034061452555,-2.959659385474424,MLI,0.619233588538602,0.0,336.66004456503737,63.51004456503739,MLI,0.7349800859030818,0.0,340.8123283614025,67.6623283614025,OSR/FEP,0.0,1.0,272.6235722029082,-0.5264277970917988,False
111000.0,mixed,1200.0,0.2762508835786121,0.16666666666666677,321.74630382824773,48.596303828247756,270.2547174604153,340.52348701771905,False,False,False,False,white,0.0,0.0,270.2547174928721,-2.895282507127888,MLI,0.3222319055860994,2.7755575615628914e-16,325.52262367627816,52.37262367627818,white,0.0,0.0,270.2547174604153,-2.8952825395846844,MLI,0.6192162573084007,0.0,336.7598312398983,63.60983123989831,MLI,0.7160571385771723,0.0,340.52348701771905,67.37348701771907,OSR/FEP,0.0,1.0000000000000004,272.84948344109773,-0.3005165589022454,False
111600.0,mixed,1200.0,0.28057362964918414,0.16666666666666666,321.8840154740336,48.73401547403364,270.3281252204022,340.1235574589177,False,False,False,False,white,0.0,0.0,270.3281252258332,-2.8218747741667585,MLI,0.373555372132755,0.0,326.99467378523485,53.844673785234875,white,0.0,0.0,270.3281252204022,-2.8218747795977492,MLI,0.6191997702658321,0.0,336.8752810003652,63.725281000365214,MLI,0.690686635496518,0.0,340.1235574589177,66.9735574589177,OSR/FEP,0.0,1.0,273.1287323129565,-0.021267687043462047,False
112200.0,mixed,1200.0,0.2844584934591036,0.16666666666666666,322.0338075036197,48.88380750361972,270.4092298192219,339.5633941923774,False,False,False,False,white,0.0,1.6653345369377348e-16,270.4092298201301,-2.7407701798698554,MLI,0.4315109099388724,0.0,328.6327118967426,55.482711896742614,white,0.0,0.0,270.4092298192219,-2.7407701807780995,MLI,0.619184448369861,2.7755575615628914e-17,337.0043415009623,63.854341500962335,MLI,0.6560556024458882,0.0,339.5633941923774,66.41339419237744,OSR/FEP,0.0,0.9999999999999999,273.4786201543071,0.32862015430714564,False
112800.0,mixed,1200.0,0.2873714908914578,0.16666666666666666,322.19182665730966,49.041826657309684,270.4962067752532,338.76714986096505,False,False,False,False,white,0.0,5.551115123125783e-17,270.49620677540497,-2.653793224595006,MLI,0.49752557229148664,0.0,330.46768471229984,57.317684712299865,white,0.0,2.7755575615628914e-17,270.4962067752532,-2.653793224746778,MLI,0.6191707148409453,0.0,337.14426423169175,63.99426423169177,MLI,0.6075326582163147,0.0,338.76714986096505,65.61714986096507,OSR/FEP,0.0,1.0,273.9272243399642,0.7772243399642207,False
113400.0,mixed,1200.0,0.28818556259974365,0.16666666666666666,322.3520347965826,49.20203479658261,270.58632054653634,337.61188484299015,False,False,False,False,white,0.0,0.0,270.5863205465616,-2.5636794534383966,MLI,0.5729045104085568,0.0,332.5357060271764,59.38570602717641,white,0.0,0.0,270.58632054653634,-2.563679453463635,MLI,0.6191589815613436,0.0,337.29101035390556,64.14101035390559,MLI,0.5370498836285615,0.0,337.61188484299015,64.46188484299017,OSR/FEP,0.0,1.0,274.52210567155254,1.3721056715525606,False
114000.0,mixed,1200.0,0.2843515119295792,0.1666666666666667,322.5040660380095,49.354066038009535,270.67506973777853,337.438052817794,False,False,False,False,white,0.0,3.608224830031759e-16,270.6750697377827,-2.474930262217299,MLI,0.6573076677141548,0.0,334.8700084399677,61.72000843996773,white,0.0,0.0,270.67506973777853,-2.4749302622214486,MLI,0.6191488881711412,0.0,337.438052817794,64.28805281779404,MLI,0.42965251569217916,0.0,335.88668518697915,62.73668518697917,OSR/FEP,0.0,0.9999999999999998,275.3478347031706,2.1978347031705994,False
114600.0,mixed,800.0,0.26960766262334573,0.16666666666666666,322.6282448901366,49.47824489013664,270.7542735981977,337.5737236467435,False,False,False,False,white,0.0,0.0,270.75427359819844,-2.3957264018015394,MLI,0.7423188173882628,3.122502256758253e-17,337.46510000907244,64.31510000907247,white,0.0,0.0,270.7542735981977,-2.3957264018022784,MLI,0.6191352798308046,0.0,337.5737236467435,64.4237236467435,MLI,0.25619187852100705,0.0,333.20613957642206,60.05613957642208,OSR/FEP,0.0,1.0,276.56155089469763,3.4115508946976547,False
115200.0,mixed,1200.0,0.24009598260363896,0.16666666666666666,320.9053824895187,47.755382489518695,270.26184154866183,339.4727957076966,False,False,False,False,white,0.0,0.0,270.26184154866183,-2.8881584513381426,MLI,0.7844468863517766,0.0,339.4727957076966,66.32279570769663,white,0.0,0.0,270.26184154866183,-2.8881584513381426,MLI,0.6190889401126614,2.7755575615628914e-17,337.0182854801859,63.86828548018593,MLI,0.0,0.0,328.16861595609475,55.01861595609478,OSR/FEP,0.03704006915739577,1.0,277.91377364129676,4.76377364129678,False
115800.0,mixed,800.0,0.2869068153033341,0.16666666666666666,321.0941466052629,47.944146605262915,269.96059732680186,340.6630104984594,False,False,False,False,white,0.0,0.0,269.96059732680186,-3.189402673198117,MLI,0.618949199827988,5.551115123125783e-17,340.6630104984594,67.51301049845944,white,0.0,0.0,269.96059732680186,-3.189402673198117,MLI,0.6189138686381078,0.0,336.4773394466374,63.32733944663744,MLI,0.0,0.0,320.8852880512069,47.73528805120691,OSR/FEP,0.483577823353909,0.9999999999999999,281.3641019467772,8.214101946777248,False
