t_s,q_w,q_x,q_y,q_z,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,angular_speed_rad_s,angular_speed_deg_s,q_norm,rotational_kinetic_energy_j,angular_momentum_norm_nms,magnetic_field_norm_t,gravity_gradient_torque_x_nm,gravity_gradient_torque_y_nm,gravity_gradient_torque_z_nm,srp_torque_x_nm,srp_torque_y_nm,srp_torque_z_nm,drag_torque_x_nm,drag_torque_y_nm,drag_torque_z_nm,residual_magnetic_torque_x_nm,residual_magnetic_torque_y_nm,residual_magnetic_torque_z_nm,magnetic_torque_x_nm,magnetic_torque_y_nm,magnetic_torque_z_nm,total_torque_x_nm,total_torque_y_nm,total_torque_z_nm,commanded_dipole_x_a_m2,commanded_dipole_y_a_m2,commanded_dipole_z_a_m2,wheel_momentum_x_nms,wheel_momentum_y_nms,wheel_momentum_z_nms,wheel_momentum_norm_nms,wheel_desat_active_flag,wheel_saturated_flag
16140.0,0.9997280956004323,0.010268246895100152,-0.00385662489384866,0.02057727915110133,0.12529887478668808,-0.00013593356075734353,-1.981810934786913e-05,0.12529895008937839,7.179101017541731,1.0,1.0630098108027448,16.967580378727632,2.035700945999529e-07,3.42051251130483e-07,-2.680377466087757e-07,8.139605727203611e-08,1.988513999172866e-07,1.2835189827757101e-07,-2.0517495241821671e-07,0.0,0.0,0.0,-2.1457480436078322e-08,-2.748852760551902e-08,3.085286653327524e-08,-7.957701245214751e-05,1.1557415628913855e-05,1.2823828587465566e-05,-7.905756728153582e-05,1.1390241252977132e-05,1.2730902558852661e-05,-0.2810889359729166,-297.99940502149843,266.8263022939136,0.00023236251319447594,-0.0003959793144091717,-0.000492897908362723,0.0006736024814728327,False,False
16200.0,-0.8095757887694204,-0.5866784929735483,-0.009016912218998049,-0.017722398672079163,0.1252636342238699,0.00013332450443365534,2.6678827441652008e-05,0.12526370801694636,7.177081795530081,1.0,1.0624119170265343,16.962807964973923,2.0316308934562958e-07,-1.177543391041628e-07,4.1621210539090354e-08,1.6856105796925985e-07,-6.16285699619599e-08,-1.71579940011122e-07,-1.3411277009276315e-07,0.0,0.0,0.0,-1.5712604287877811e-09,1.7316166923548538e-08,4.09173755622482e-08,-7.952123766234289e-05,1.5450259265758394e-05,-6.457614796785781e-06,-7.97021918318378e-05,1.533761670320991e-05,-6.382249133347036e-06,-0.24174862794197924,153.19338056022394,369.5020023086902,0.00023589972517126513,-0.00039604542499347637,-0.000490785533805548,0.0006733283739654364,False,False
16260.0,0.32198912117165024,0.946543666733469,0.016582494556374082,0.010154491033809448,0.12522838277376924,-0.000129204279623451,-3.141357290723822e-05,0.1252284533670048,7.175061852880219,1.0,1.0618139615779647,16.958033503654445,2.0276492271361582e-07,-1.5892449599363862e-07,2.8412339069719684e-07,3.286842598064821e-08,-2.3942216980394564e-07,-2.0464212086652455e-07,1.7188115830810447e-07,0.0,0.0,0.0,2.035938676004052e-08,4.1709632905303126e-08,1.9817187704441697e-09,-7.940744040649924e-05,-8.084124688208194e-07,-1.6491910097314404e-05,-7.978542768553679e-05,-6.87221566084844e-07,-1.6285178794255206e-05,0.4066981649874559,399.4195549662552,-21.53726322356667,0.00023128712281573197,-0.00039466724734119334,-0.00048700349641701216,0.0006681529576576376,False,False
16320.0,0.28285542655182927,-0.9589369000577908,-0.020764198766763265,0.0012951553235040322,0.12519320455460992,0.00012757166402134923,3.612419989812943e-05,0.1251932747640211,7.173046267400085,1.0,1.0612174905261242,16.953269892732962,2.023755218291947e-07,3.655192313753768e-07,1.4740445888058512e-07,-1.4431666668208491e-07,-9.835005461122892e-08,7.202944191572338e-08,3.047442720960429e-07,0.0,0.0,0.0,1.512540146207904e-08,1.329506225162561e-08,-3.3911481345064933e-08,-7.927433371314662e-05,-1.571328300227669e-05,-4.64855303607926e-06,-7.89920391349204e-05,-1.5480554039228755e-05,-4.522036912010367e-06,-0.0049768377215868185,113.49606434067664,-383.5604820030448,0.0002315683263487606,-0.0003912092039438871,-0.00048282224402479066,0.0006631635170480282,False,False
16380.0,-0.7834594575924155,0.6211037580319683,0.015188912005276209,-0.013809309166661501,0.12515806971971838,-0.00012433423586374475,-4.279650752935588e-05,0.12515813879452328,7.171033124638761,1.0,1.0606219082089954,16.948512066383678,2.0199481572267956e-07,-4.0777643996598445e-07,-1.770570092484058e-07,-1.251589859695054e-07,1.7340569461153308e-07,2.904339036597573e-07,8.883946626656975e-08,0.0,0.0,0.0,-1.0136744210492748e-08,-2.9975426931058734e-08,-1.940387702014648e-08,-7.921308746220598e-05,-9.33547332789558e-06,1.290118618822856e-05,-7.945759495177092e-05,-9.252071860415287e-06,1.2845462791505479e-05,-0.40149171378442455,-322.88256909011864,-236.10735986446613,0.00023181157152859497,-0.0003879667331566599,-0.00048009278852172724,0.0006593511024646701,False,False
16440.0,0.9981489305469519,-0.05764318422275516,-0.004852130658605118,0.018773188027338888,0.12512298252068108,0.00011834800288793391,4.799251570486764e-05,0.1251230476946674,7.1690225527185465,1.0,1.0600272266685076,16.9437597648186,2.016227352538567e-07,2.639030685811857e-07,-2.5639243804868474e-07,5.3715920308155804e-08,2.151810750109013e-07,1.612432298301988e-07,-1.8849730527650437e-07,0.0,0.0,0.0,-2.1931426115272753e-08,-3.084604068411391e-08,2.603362309286319e-08,-7.913588774287909e-05,8.66428730658738e-06,1.2911923792171029e-05,-7.867873502540227e-05,8.53829205768478e-06,1.2803176030295544e-05,0.22769475828038047,-331.50257845257784,223.8436700788957,0.00023187119214742802,-0.0003866406511351483,-0.00047872801531092233,0.0006575984758966642,False,False
16500.0,-0.8503039382991431,-0.5258973530311076,-0.006276763636531341,-0.019385273433536482,0.12508796222105886,-0.0001142611390674786,-5.201736849545129e-05,0.1250880252223672,7.167015912867631,1.0,1.05943388834034,16.93901702675006,2.012592130649847e-07,2.348613791271624e-09,-7.730204175564701e-10,1.5894516658297592e-07,-2.693853316550259e-08,-1.4383809004322052e-07,-1.6188006873382562e-07,0.0,0.0,0.0,-4.761664992959613e-09,1.156449911513891e-08,4.217565820211627e-08,-7.90049082965817e-05,1.5007595519957722e-05,-3.7201984791090623e-06,-7.903425988094889e-05,1.4874548908612084e-05,-3.6809577230577957e-06,0.250369007995083,97.48341569377297,387.9393264159163,0.00023593998298399027,-0.0003866858988213658,-0.0004769616855802795,0.0006577888030586676,False,False
16560.0,0.39522425893888563,0.9183451362655232,0.017411231188859348,0.011698071300628225,0.1250529181760707,0.00011013558434828004,5.7895312663998445e-05,0.12505298007670668,7.165007973928862,1.0,1.0588403482822026,16.93427159246969,2.0090418355535618e-07,-2.6818148797102804e-07,2.490037354524689e-07,5.34900888128449e-08,-2.3361813524765677e-07,-2.2248437252486825e-07,1.3350971170801122e-07,0.0,0.0,0.0,1.8599762021157104e-08,4.1140137626655525e-08,7.881227168682627e-09,-7.8924303224599e-05,1.4962857526523468e-06,-1.5057026421742185e-05,-7.940750308579653e-05,1.563945253206603e-06,-1.4862145394052645e-05,-0.36958647479165796,397.8440230396491,41.47284337328227,0.00023188936083554687,-0.00038562211407882507,-0.0004734707554276761,0.0006531857674357235,False,False
16620.0,0.20162184428510735,-0.9792645858405804,-0.019726968845985873,0.0005912069842722795,0.125017944082275,-0.00010272100398785514,-6.324426536838327e-05,0.1250180022796741,7.163003893782231,1.0,1.058248091048363,16.929534798228477,2.0055758285655816e-07,4.0776638160745265e-07,1.6619807032394466e-07,-1.1407707550039247e-07,-1.3339663627428435e-07,2.8003137822863415e-08,3.087979792828638e-07,0.0,0.0,0.0,1.753170721003927e-08,1.919068890074196e-08,-3.174545103867316e-08,-7.887218830151431e-05,-1.3166739294114536e-05,-6.445923944146365e-06,-7.858028684897111e-05,-1.2953347397066986e-05,-6.282948491402566e-06,-0.037039830773885916,176.05790990618118,-359.1707267964887,0.00023117435252749172,-0.00038267841144566255,-0.00046926234880508596,0.0006481446596703138,False,False
16680.0,-0.7251740833371292,0.6882781065464674,0.01671033328414737,-0.010796372839839474,0.12498302090486259,9.614672263768228e-05,6.664809992163161e-05,0.12498307565693371,7.16100274570656,1.0,1.0576568626127354,16.92480483337704,2.002193488084189e-07,-3.5257482262845684e-07,-1.2553772527698637e-07,-1.3010128612174888e-07,1.410583975241452e-07,2.7798634800582187e-07,1.3486272696044237e-07,0.0,0.0,0.0,-6.456548520849161e-09,-2.5354025072360157e-08,-2.4881856061323665e-08,-7.876227083715261e-05,-1.0555925601921458e-05,9.956060929126972e-06,-7.898024381077777e-05,-1.0428831004264983e-05,9.935940513904342e-06,0.36668472666030827,-275.898182377954,-289.6205422666915,0.00023211993079572267,-0.00037924043523103153,-0.0004661443975129559,0.0006441999451409088,False,False
