t_s,gs_range_m,gs_elevation_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,xband_range_m,xband_frequency_hz,xband_data_rate_bps,xband_tx_power_w,xband_tx_gain_dbi,xband_rx_gain_dbi,xband_eirp_dbw,xband_g_over_t_db_per_k,xband_fspl_db,xband_propagation_loss_db,xband_implementation_loss_db,xband_carrier_power_dbw,xband_noise_density_dbw_hz,xband_cn0_db_hz,xband_ebn0_db,xband_required_ebn0_db,xband_margin_db,xband_margin_threshold_db,xband_geometry_flag,xband_margin_ok_flag,xband_available_flag,xband_active_rate_bps,xband_volume_bits,xband_cumulative_volume_bits,uhf_range_m,uhf_frequency_hz,uhf_data_rate_bps,uhf_tx_power_w,uhf_tx_gain_dbi,uhf_rx_gain_dbi,uhf_eirp_dbw,uhf_g_over_t_db_per_k,uhf_fspl_db,uhf_propagation_loss_db,uhf_implementation_loss_db,uhf_carrier_power_dbw,uhf_noise_density_dbw_hz,uhf_cn0_db_hz,uhf_ebn0_db,uhf_required_ebn0_db,uhf_margin_db,uhf_margin_threshold_db,uhf_geometry_flag,uhf_margin_ok_flag,uhf_available_flag,uhf_active_rate_bps,uhf_volume_bits,uhf_cumulative_volume_bits
1200.0,9251527.837450167,-0.2164929013843272,False,374567131.9322769,False,9251527.837450167,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.2576381418619,3.2,2.0,-101.85212045121347,-206.83825458266085,104.98613413144739,22.986134131447386,5.0,17.986134131447386,3.0,False,True,False,0.0,0.0,0.0,374567131.9322769,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.98262680939135,2.5,2.0,-147.50322672267097,-201.60946712985748,54.106240407186505,12.106240407186505,6.0,6.106240407186505,3.0,True,True,True,10000.0,600000.0,12600000.0
1260.0,9207675.08466443,-0.1672118051504538,False,374262556.5464744,False,9207675.08466443,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.21636865810353,3.2,2.0,-101.81085096745511,-206.83825458266085,105.02740361520574,23.027403615205742,5.0,18.027403615205742,3.0,False,True,False,0.0,0.0,0.0,374262556.5464744,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.97556109505297,2.5,2.0,-147.4961610083326,-201.60946712985748,54.113306121524886,12.113306121524886,6.0,6.113306121524886,3.0,True,True,True,10000.0,600000.0,13200000.0
1320.0,9176774.567252927,-0.11838006004781636,False,373971532.0014178,False,9176774.567252927,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.18717020595227,3.2,2.0,-101.78165251530385,-206.83825458266085,105.056602067357,23.056602067357005,5.0,18.056602067357005,3.0,False,True,False,0.0,0.0,0.0,373971532.0014178,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.96880436678708,2.5,2.0,-147.4894042800667,-201.60946712985748,54.12006284979077,12.12006284979077,6.0,6.12006284979077,3.0,True,True,True,10000.0,600000.0,13800000.0
1380.0,9158669.30615925,-0.07009084486179584,False,373693507.4575185,False,9158669.30615925,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.17001650605536,3.2,2.0,-101.76449881540694,-206.83825458266085,105.07375576725391,23.073755767253914,5.0,18.073755767253914,3.0,False,True,False,0.0,0.0,0.0,373693507.4575185,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.96234454724532,2.5,2.0,-147.48294446052495,-201.60946712985748,54.12652266933253,12.12652266933253,6.0,6.12652266933253,3.0,True,True,True,10000.0,600000.0,14400000.0
1440.0,9153131.070885612,-0.022434531464213838,False,373427943.89418554,False,9153131.070885612,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.16476257134087,3.2,2.0,-101.75924488069245,-206.83825458266085,105.0790097019684,23.079009701968403,5.0,18.079009701968403,3.0,False,True,False,0.0,0.0,0.0,373427943.89418554,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.95616976563258,2.5,2.0,-147.4767696789122,-201.60946712985748,54.13269745094527,12.132697450945273,6.0,6.1326974509452725,3.0,True,True,True,10000.0,600000.0,15000000.0
1500.0,9159867.72844524,0.02450294367886924,False,373174317.523804,False,9159867.72844524,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.17115299023106,3.2,2.0,-101.76563529958264,-206.83825458266085,105.07261928307821,23.07261928307821,5.0,18.07261928307821,3.0,False,True,False,0.0,0.0,0.0,373174317.523804,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.95026844210054,2.5,2.0,-147.47086835538016,-201.60946712985748,54.138598774477316,12.138598774477316,6.0,6.138598774477316,3.0,True,True,True,10000.0,600000.0,15600000.0
1560.0,9178531.01347374,0.0706415442822554,False,372932122.12186956,False,9178531.01347374,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.18883253709774,3.2,2.0,-101.78331484644931,-206.83825458266085,105.05493973621154,23.054939736211537,5.0,18.054939736211537,3.0,False,True,False,0.0,0.0,0.0,372932122.12186956,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.94462934694158,2.5,2.0,-147.4652292602212,-201.60946712985748,54.14423786963627,12.144237869636271,6.0,6.144237869636271,3.0,True,True,True,10000.0,600000.0,16200000.0
1620.0,9208724.599669492,0.11590836680769463,True,372700870.5293927,False,9208724.599669492,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.21735864221267,3.2,2.0,-101.81184095156425,-206.83825458266085,105.0264136310966,23.026413631096602,5.0,18.026413631096602,3.0,True,True,True,100000000.0,6000000000.0,6000000000.0,372700870.5293927,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.93924164040212,2.5,2.0,-147.45984155368174,-201.60946712985748,54.14962557617574,12.149625576175737,6.0,6.149625576175737,3.0,True,True,True,10000.0,600000.0,16800000.0
1680.0,9250012.294764569,0.1602385892453148,True,372480095.5526343,False,9250012.294764569,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.25621514286354,3.2,2.0,-101.85069745221512,-206.83825458266085,104.98755713044574,22.987557130445737,5.0,17.987557130445737,3.0,True,True,True,100000000.0,6000000000.0,12000000000.0,372480095.5526343,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.93409489826468,2.5,2.0,-147.4546948115443,-201.60946712985748,54.15477231831318,12.154772318313178,6.0,6.154772318313178,3.0,True,True,True,10000.0,600000.0,17400000.0
1740.0,9301926.113631137,0.20357613528698218,True,372269350.36209685,False,9301926.113631137,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.30482665379128,3.2,2.0,-101.89930896314286,-206.83825458266085,104.938945619518,22.938945619517995,5.0,17.938945619517995,3.0,True,True,True,100000000.0,6000000000.0,18000000000.0,372269350.36209685,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.92917912551542,2.5,2.0,-147.44977903879504,-201.60946712985748,54.159688091062435,12.159688091062435,6.0,6.159688091062435,3.0,True,True,True,10000.0,600000.0,18000000.0
1800.0,9363974.09333222,0.2458740486573672,True,372068208.5112508,False,9363974.09333222,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.36257301298818,3.2,2.0,-101.95705532233976,-206.83825458266085,104.8811992603211,22.881199260321097,5.0,17.881199260321097,3.0,True,True,True,100000000.0,6000000000.0,24000000000.0,372068208.5112508,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.9244847608693,2.5,2.0,-147.44508467414892,-201.60946712985748,54.16438245570856,12.164382455708562,6.0,6.164382455708562,3.0,True,True,True,10000.0,600000.0,18600000.0
1860.0,9435647.70388242,0.2870945860271817,True,371876263.68051505,False,9435647.70388242,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.42880329083408,3.2,2.0,-102.02328560018566,-206.83825458266085,104.8149689824752,22.814968982475193,5.0,17.814968982475193,3.0,True,True,True,100000000.0,6000000000.0,30000000000.0,371876263.68051505,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.92000267459628,2.5,2.0,-147.4406025878759,-201.60946712985748,54.16886454198158,12.168864541981577,6.0,6.168864541981577,3.0,True,True,True,10000.0,600000.0,19200000.0
1920.0,9516428.672723925,0.32720906721520476,True,371693129.2325098,False,9516428.672723925,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.5028488798779,3.2,2.0,-102.09733118922946,-206.83825458266085,104.74092339343139,22.740923393431387,5.0,17.740923393431387,3.0,True,True,True,100000000.0,6000000000.0,36000000000.0,371693129.2325098,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.91572416165147,2.5,2.0,-147.4363240749311,-201.60946712985748,54.173143054926385,12.173143054926385,6.0,6.173143054926385,3.0,True,True,True,10000.0,600000.0,19800000.0
1980.0,9605795.16052609,0.3661975224428712,True,371518437.6075819,False,9605795.16052609,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.5840353682727,3.2,2.0,-102.17851767762428,-206.83825458266085,104.65973690503657,22.659736905036567,5.0,17.659736905036567,3.0,True,True,True,100000000.0,6000000000.0,42000000000.0,371518437.6075819,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.9116409307911,2.5,2.0,-147.43224084407072,-201.60946712985748,54.17722628578676,12.177226285786759,6.0,6.177226285786759,3.0,True,True,True,10000.0,600000.0,20400000.0
2040.0,9703227.263466263,0.40404816030089885,True,371351839.61614305,False,9703227.263466263,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.67169300908125,3.2,2.0,-102.26617531843283,-206.83825458266085,104.57207926422802,22.572079264228023,5.0,17.572079264228023,3.0,True,True,True,100000000.0,6000000000.0,48000000000.0,371351839.61614305,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.90774509100265,2.5,2.0,-147.42834500428228,-201.60946712985748,54.1811221255752,12.1811221255752,6.0,6.1811221255752,3.0,True,True,True,10000.0,600000.0,21000000.0
2100.0,9808211.683575325,0.4407567308394786,True,371193003.70919997,False,9808211.683575325,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.7651655499369,3.2,2.0,-102.35964785928849,-206.83825458266085,104.47860672337237,22.478606723372366,5.0,17.478606723372366,3.0,True,True,True,100000000.0,6000000000.0,54000000000.0,371193003.70919997,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.9040291371671,2.5,2.0,-147.42462905044673,-201.60946712985748,54.18483807941075,12.184838079410753,6.0,6.184838079410753,3.0,True,True,True,10000.0,600000.0,21600000.0
2160.0,9920245.78160735,0.4763257858281733,True,371041615.1350007,False,9920245.78160735,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.86381758836893,3.2,2.0,-102.45829989772051,-206.83825458266085,104.37995468494034,22.379954684940344,5.0,17.379954684940344,3.0,True,True,True,100000000.0,6000000000.0,60000000000.0,371041615.1350007,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.90048593281418,2.5,2.0,-147.4210858460938,-201.60946712985748,54.188381283763675,12.188381283763675,6.0,6.188381283763675,3.0,True,True,True,10000.0,600000.0,22200000.0
2220.0,10038840.754556391,0.5107639167303696,True,370897375.1935061,False,10038840.754556391,8400000000.0,100000000.0,20.0,32.23670662807107,46.358511105937545,45.24700658471088,24.59759851538073,190.9670402451842,3.2,2.0,-102.56152255453577,-206.83825458266085,104.27673202812508,22.276732028125082,5.0,17.276732028125082,3.0,True,True,True,100000000.0,6000000000.0,66000000000.0,370897375.1935061,450000000.0,10000.0,25.0,20.0,18.0,33.979400086720375,-8.989700043360187,196.8971086949406,2.5,2.0,-147.41770860822024,-201.60946712985748,54.19175852163724,12.19175852163724,6.0,6.19175852163724,3.0,True,True,True,10000.0,600000.0,22800000.0
