t_s,x_eci_m,y_eci_m,z_eci_m,vx_eci_mps,vy_eci_mps,vz_eci_mps,x_ecef_m,y_ecef_m,z_ecef_m,lat_rad,lon_rad,alt_m,altitude_m,sun_hat_x,sun_hat_y,sun_hat_z,moon_hat_x,moon_hat_y,moon_hat_z,eclipse_flag,solar_flux_w_m2,gs_range_m,gs_elevation_rad,gs_azimuth_rad,gs_contact_flag,moon_range_m,moon_occulted_flag,earth_view_scale,earth_ir_flux_w_m2,albedo_flux_w_m2,b_eci_x_t,b_eci_y_t,b_eci_z_t,atmospheric_density_kg_m3
109980.0,-16888810.47552432,9735730.328264447,19337332.33856646,-385.6235519270961,-1598.6817099448,-3196.735938236716,12390874.834304474,15049338.362315744,19337332.33856646,0.782142193540446,0.8819787722951904,21090596.496426675,21079990.872727167,-0.2619335171037922,0.8854769209375921,0.38382477135343773,0.9922549221648167,0.10205631505553617,0.07081439117141797,False,1361.0,21960545.057065997,0.9736320431530057,1.4364807503483679,True,398083243.1861128,False,0.053956757184736574,12.787751452782569,16.421060945302003,-5.08157554688782e-07,2.929327038094247e-07,1.9078774453151675e-07,0.0
110040.0,-16911359.04264564,9639471.253882179,19144856.394473948,-365.93530012623006,-1609.9673817266514,-3219.1550010517485,12365554.352411695,15033513.770281566,19144856.394473948,0.7778717622861967,0.8824662380776962,20935106.009077694,20924591.748034023,-0.26194466928085525,0.8854741437472066,0.3838235675287474,0.9921773372557541,0.10242823107718074,0.07136237744415098,False,1361.0,21813128.890022155,0.9703788206836939,1.4450354809410852,True,398125915.258586,False,0.05457271721716367,12.933733980467789,16.57813172275512,-5.182719808027434e-07,2.954149248468123e-07,1.8896347639837302e-07,0.0
110100.0,-16932715.39022274,9542532.628414731,18951030.561750893,-345.88076080422894,-1621.3336284494837,-3241.7326427168086,12339457.97422528,15017142.083398355,18951030.561750893,0.7735403081857396,0.8829680960016891,20778524.47217264,20768102.86490693,-0.261955821423132,0.8854713664385331,0.3838223636527831,0.992098864840186,0.10280199187712079,0.07191378761343893,False,1361.0,21664924.58347565,0.9670208400421699,1.4536402922725804,True,398167737.74720764,False,0.05520371722169979,13.08328098154285,16.73820912871105,-5.286502097239167e-07,2.9792397492381206e-07,1.8698764634133495e-07,0.0
110160.0,-16952857.236446608,9444909.58469827,18755845.26240367,-325.4501088178776,-1632.7815559256294,-3264.471007920488,12312567.0724371,15000212.586133674,18755845.26240367,0.7691464157100295,0.883484873433502,20620844.126985848,20610516.48715448,-0.26196697353053877,0.8854685890115925,0.3838211597255541,0.9920194928060425,0.10317761606687884,0.07246865139905614,False,1361.0,21515936.077065594,0.9635547968587066,1.4622942830302645,True,398208692.9634411,False,0.05585026682029226,13.236513236409266,16.901365784397804,-5.393005190509015e-07,3.0045936035289016e-07,1.8485095995087805e-07,0.0
110220.0,-16971761.693680502,9346597.187957194,18559290.78734155,-304.6331538829206,-1644.3122773560328,-3287.37225369771,12284862.5672271,14982714.229583124,18559290.78734155,0.7646886202992103,0.8840171145139155,20462057.10451371,20451824.768703867,-0.26197812560310146,0.8854658114663788,0.3838199557470574,0.9919392088120335,0.10355512264963906,0.07302699907825592,False,1361.0,21366167.723259043,0.9599772733727714,1.470996510966606,True,398248762.6915834,False,0.056512898090707676,13.393556847497718,17.06767616833696,-5.502314518119289e-07,3.030205015278949e-07,1.8254352781542626e-07,0.0
110280.0,-16989405.268459957,9247590.43580415,18361357.29637669,-283.41934057406206,-1655.9269133302503,-3310.4385494297303,12256324.915941881,14964635.638705458,18361357.29637669,0.760165405705766,0.8845653814338156,20302155.43948801,20292019.767622434,-0.2619892776408185,0.8854630338028917,0.38381875171729346,0.9918580002832591,0.10393453102135082,0.07358886149048816,False,1361.0,21215624.33097189,0.9562847331636632,1.4797459935542874,True,398287928.1902322,False,0.05719216671218176,13.554543510787077,17.237216616831795,-5.614518208936925e-07,3.056067241329621e-07,1.8005482278304762e-07,0.0
110340.0,-17005763.839642894,9147884.258216973,18162034.818322863,-261.79773212021564,-1667.626590661884,-3333.6720744090617,12226934.09866023,14945965.098261787,18162034.818322863,0.7555752016849866,0.8851302552199702,20141131.071662348,20131093.44740099,-0.2620004296436884,0.8854602560211319,0.3838175476362621,0.9917758544055267,0.10431586098018043,0.07415427004664704,False,1361.0,21064311.196397837,0.952473516214992,1.488541708047595,True,398326170.1720602,False,0.057888653236940264,13.719610817154843,17.410065338929513,-5.729707134957576e-07,3.0821725032947736e-07,1.7737363480392758e-07,0.0
110400.0,-17020812.598584328,9047473.519310756,17961313.254932605,-239.75696972569136,-1679.4124393232692,-3357.075011443538,12196669.597625636,14926690.501417615,17961313.254932605,0.7509163824873455,0.8857123355860421,19978975.826530017,19969037.657647334,-0.2620115816191704,0.8854574781192412,0.383816343503158,0.9916927581055467,0.10469913283552887,0.07472325678463178,False,1361.0,20912234.11142972,0.948539834883756,1.4973825904267002,True,398363468.7434673,False,0.05860296453468482,13.888902594720301,17.58630246198655,-5.847974960781106e-07,3.108511905222437e-07,1.744880239086363e-07,0.0
110460.0,-17034526.0615939,8946353.016656615,17759182.379453644,-217.28527997030855,-1691.2855930571131,-3380.6495481276725,12165510.38723565,14906799.370080227,17759182.379453644,0.7461872634359746,0.8863122427587385,19815681.438193813,19805844.15696808,-0.2620227335523966,0.8854547001009233,0.3838151393195867,0.9916086981004755,0.10508436703136416,0.07529585418266695,False,1361.0,20759399.423057877,0.944479767409359,1.5062675367838259,True,398399803.4268043,False,0.059335735143610485,14.062569229035685,17.7660100027064,-5.969418163484882e-07,3.135075317122194e-07,1.7138526626663897e-07,0.0
110520.0,-17046877.994408898,8844517.478776185,17555631.832122847,-194.37041363198824,-1703.2471851843884,-3404.3978680576065,12133434.904726947,14886278.789589878,17555631.832122847,0.741386099272242,0.8869306173210441,19651239.51377648,19641504.577348538,-0.2620338854506889,0.8854519219643543,0.3838139350847575,0.99152366080614,0.10547158474510351,0.07587209548277296,False,1361.0,20605814.02904523,0.9402892534106961,1.5151954023077434,True,398435153.07536095,False,0.060087628975198364,14.240768067122012,17.949271926345098,-6.094136077090044e-07,3.16185128265373e-07,1.6805179978928188e-07,0.0
110580.0,-17057841.40785548,8741961.565064244,17350651.12004041,-170.9996423167142,-1715.2983483681178,-3428.322150336625,12100421.036215758,14865115.413171763,17350651.12004041,0.7365110807836153,0.8875681217833168,19485641.54812065,19476010.438853383,-0.26204503731415557,0.885449143709507,0.38381273079865863,0.9914376323858443,0.10586080751350634,0.07645201450413203,False,1361.0,20451485.43205404,0.9359640872471657,1.5241650023938873,True,398469495.8789383,False,0.06085934090290005,14.423663793987313,18.136174119555616,-6.222230897811066e-07,3.188826889466199e-07,1.6447316221264622e-07,0.0
110640.0,-17067388.55784866,8638679.865788732,17144229.61716985,-147.15975845853296,-1727.440214613375,-3452.424569575154,12066446.103723455,14843295.470821295,17144229.61716985,0.7315603311245955,0.8882254423226925,19318878.94300384,19309353.168843098,-0.26205618914279516,0.8854463653363821,0.38381152646129035,0.9913505987311746,0.10625205733121633,0.07703564569876596,False,1361.0,20296421.80124648,0.9314999109116902,1.5331751139472019,True,398502809.3634705,False,0.06165159843209855,14.611428828407357,18.32680434514358,-6.353807671196097e-07,3.2159876254188004e-07,1.6063392397801158e-07,0.0
110700.0,-17075490.901320525,8534666.903170273,16936356.56678768,-122.83704130373337,-1739.6739119296985,-3476.70728899392,12031486.843809223,14820804.73511461,16936356.56678768,0.7265319029986653,0.8889032895087918,19150943.000635695,19141524.095448002,-0.2620673409365239,0.8854435868450002,0.3838103220726617,0.9912625454549054,0.10664535666538527,0.07762302416148334,False,1361.0,20140632.006615292,0.926892207866397,1.542224475467502,True,398535070.34871894,False,0.06246516360412854,14.804243774178465,18.521252230805217,-6.488974278759011e-07,3.2433172394572176e-07,1.5651761774183308e-07,0.0
110760.0,-17082119.049352523,8429917.134832967,16727021.08868979,-98.01722537373861,-1752.0005610840594,-3501.17245372527,11995519.386865957,14797628.484176975,16727021.08868979,0.7214237758065851,0.8896023989752257,18981824.91977781,18972514.443658717,-0.2620784926954499,0.8854408082353346,0.38380911763276093,0.99117345788556,0.10704072846228956,0.0782141856279558,False,1361.0,19984125.65788698,0.9221362967683195,1.5513117870932007,True,398566254.9026721,False,0.063300835018503,15.002297899385212,18.719609246013103,-6.627841405207125e-07,3.270797590585151e-07,1.5210666237274777e-07,0.0
110820.0,-17087242.743332073,8324424.951939459,16516212.17562351,-72.68547635274707,-1764.4212734342016,-3525.822186321661,11958519.23530992,14773751.488662234,16516212.17562351,0.7162338517759297,0.8903235330015751,18811515.799106803,18802315.33867416,-0.26208964441948956,0.8854380295074059,0.38380791314159707,0.9910833210587229,0.10743819616508908,0.07880916649733315,False,1361.0,19826913.156917978,0.9172273237459133,1.560435711732417,True,398596338.3201352,False,0.06415944995834072,15.205789640126751,18.921968648647912,-6.770522480592706e-07,3.2984084747731767e-07,1.473822794268769e-07,0.0
110880.0,-17090830.78502079,8218184.678725339,16303918.692821579,-46.8263323989713,-1776.9371453300869,-3550.6585751752,11920461.232071076,14749157.953949127,16303918.692821579,0.7109599529823852,0.8910674810915238,18640006.61313319,18630917.78177828,-0.26210079610866865,0.8854352506612078,0.3838067085991675,0.9909921197074179,0.10783778373806785,0.07940800385515583,False,1361.0,19669005.721276607,0.912160255630408,1.5695948750136792,True,398625295.0553719,False,0.06504188680555423,15.414927172916352,19.12842546970898,-6.917133618289475e-07,3.3261274561529973e-07,1.4232440496154157e-07,0.0
110940.0,-17092851.0361191,8111190.572502486,16090129.378011718,-20.423703793042193,-1789.5492580799219,-3575.683674447402,11881319.544114329,14723831.530449467,16090129.378011718,0.7055998164782411,0.8918350622772757,18467288.236646026,18458312.674773704,-0.2621119477629858,0.8854324716967406,0.38380550400547225,0.9908998382553419,0.1082395156726017,0.08001073548279494,False,1361.0,19510415.466222975,0.9069298708332292,1.5787878672534363,True,398653098.72357434,False,0.06594906737478501,15.629928967824046,19.339076393712592,-7.067793488325525e-07,3.353929651042974e-07,1.3691159062581793e-07,0.0
111000.0,-17093270.4080783,8003436.824070644,15874832.84230683,6.539135469259973,-1802.2586768953877,-3600.8995019049557,11841067.644148825,14697755.314580087,15874832.84230683,0.7001510893607285,0.8926271272865987,18293351.465509173,18284490.84075855,-0.262123099382467,0.8854296926139978,0.38380429936050847,0.9908064608101778,0.10864341699208253,0.08061739986562486,False,1361.0,19351155.48587911,0.9015307500563815,1.5880132452095954,True,398679722.09264547,False,0.06688195942590099,15.851024383938533,19.554019622836325,-7.22262315550985e-07,3.3817874958482934e-07,1.311208969833339e-07,0.0
